"Code","Symbol","Name","英文名称","注册地址","A股代码","A股简称","A股上市日期","A股总股本","A股流通股本","B股代码","B股 简 称","B股上市日期","B股总股本","B股流通股本","地 区","省 份","城 市","所属行业","公司网址"
000818.SZ,"锦化氯碱","锦化化工集团氯碱股份有限公司","JIN HUA GROUP CHLOR-ALKALI CO., LTD","辽宁省葫芦岛市连山区化工街",818,"*ST锦化",10/17/97,340000000,149953031,,,,0,0,"东北","辽宁","葫芦岛市","C4 石化塑胶","www.jinhuagroup.com"
000819.SZ,"岳阳兴长","岳阳兴长石化股份有限公司","YUEYANG XINGCHANG PETRO-CHEMICAL CO.,LTD","湖南省岳阳市云溪区",819,"岳阳兴长",06/25/97,193712443,193696577,,,,0,0,"华中","湖南","岳阳市","C4 石化塑胶","www.yyxc0819.com"
000820.SZ,"金城股份","金城造纸股份有限公司","JINCHENG PAPER CO.,LTD","辽宁省凌海市金城街",820,"*ST金城",06/30/98,287834760,216128363,,,,0,0,"东北","辽宁","锦州市","C3 造纸印刷","www.jinchengpaper.com"
000821.SZ,"京山轻机","湖北京山轻工机械股份有限公司","HUBEI JINGSHAN LIGHT INDUSTRY MACHINERY STOCK CO.,LTD","湖北省京山县经济技术开发区轻机工业园",821,"京山轻机",06/26/98,345238781,345209664,,,,0,0,"华中","湖北","荆门市","C7 机械设备","www.jspackmach.com"
000822.SZ,"山东海化","山东海化股份有限公司","SHANDONG HAIHUA CO.,LTD","山东省潍坊市滨海经济开发区",822,"山东海化",07/03/98,895091926,895083093,,,,0,0,"华东","山东","潍坊市","C4 石化塑胶","www.chinahaihua.com"
000823.SZ,"超声电子","广东汕头超声电子股份有限公司","GUANGDONG GOWORLD CO., LTD","广东省汕头市龙湖区龙江路12号",823,"超声电子",10/08/97,440436000,288299346,,,,0,0,"华南","广东","汕头市","C5 电子","www.gd-goworld.com"
000825.SZ,"太钢不锈","山西太钢不锈钢股份有限公司","SHANXI TAIGANG STAINLESS STEEL CO.LTD","山西省太原市尖草坪街2号",825,"太钢不锈",10/21/98,5696247796,2288510344,,,,0,0,"华北","山西","太原市","C6 金属非金属","www.tgbx.com"
000826.SZ,"桑德环境","桑德环境资源股份有限公司","SOUND ENVIRONMENTAL RESOURCES CO., LTD.","湖北省宜昌市沿江大道114号国投原宜大厦大楼",826,"桑德环境",02/25/98,413356140,232842807,,,,0,0,"华中","湖北","宜昌市","K 社会服务","www.eguard-rd.com"
000828.SZ,"东莞控股","东莞发展控股股份有限公司","DONGGUAN DEVELOPMENT (HOLDINGS) CO., LTD","广东省东莞市南城区科技工业园科技路39号",828,"东莞控股",06/17/97,1039516992,636531503,,,,0,0,"华南","广东","东莞市","F 运输仓储","www.dgholdings.cn"
000829.SZ,"天音控股","天音通信控股股份有限公司","Telling Telecommunication Holding Co.,Ltd.","江西省赣州市红旗大道20号奥林神大厦八楼",829,"天音控股",12/02/97,946901092,946836513,,,,0,0,"华东","江西","赣州市","H 批发零售","www.chinatelling.com"
000830.SZ,"鲁西化工","鲁西化工集团股份有限公司","Luxi Chemical Group Co.,Ltd.","山东省聊城市鲁化路68号",830,"鲁西化工",08/07/98,1046233328,1045339444,,,,0,0,"华东","山东","聊城市","C4 石化塑胶","www.luxichemical.com"
000831.SZ,"关铝股份","山西关铝股份有限公司","SHANXI GUANLU CO.,LTD","山西省运城市解州镇新建路36号",831,"*ST关铝",09/11/98,653400000,457957030,,,,0,0,"华北","山西","运城市","C6 金属非金属","www.sxglgf.com"
000833.SZ,"贵糖股份","广西贵糖(集团)股份有限公司","GUANGXI GUITANG (GROUP) CO., LTD","广西贵港市幸福路100号",833,"贵糖股份",11/11/98,296067880,296058970,,,,0,0,"华南","广西","贵港市","C0 食品饮料","www.Guitang.com"
000835.SZ,"四川圣达","四川圣达实业股份有限公司","Sichuan Shengda Industrial Co.,Ltd","四川省成都市高新区紫薇东路16号",835,"四川圣达",06/25/99,305370000,305370000,,,,0,0,"西南","四川","成都市","C4 石化塑胶","www.shengdagroup.com"
000836.SZ,"鑫茂科技","天津鑫茂科技股份有限公司","TIANJIN XINMAO SIENCE&TECHNOLOGY CO.,LTD.","天津市新技术产业园区榕苑路1号",836,"鑫茂科技",09/29/97,292497816,255321477,,,,0,0,"华北","天津","天津市","J 房地产业","www.xinmaokeji.com.cn"
000837.SZ,"秦川发展","陕西秦川机械发展股份有限公司","QINCHUAN MACHINERY DEVELOPMENT CO.,LTD","陕西省宝鸡市姜谭路22 号",837,"秦川发展",09/28/98,348717600,348639089,,,,0,0,"西北","陕西","宝鸡市","C7 机械设备","www.qinchuan.com"
000838.SZ,"国兴地产","国兴融达地产股份有限公司","Guoxing Rongda Real Estate CO.,LTD.","四川省德阳市泰山南路230号",838,"国兴地产",06/26/97,180999720,86444238,,,,0,0,"西南","四川","德阳市","E 建筑业","www.gxland.com.cn"
000839.SZ,"中信国安","中信国安信息产业股份有限公司","CITIC GUOAN INFORMATION INDUSTRY CO., LTD","北京市海淀区海淀南路32号",839,"中信国安",10/31/97,1567930541,1567409999,,,,0,0,"华北","北京","北京市","G 信息技术","www.citicguoaninfo.com"
000848.SZ,"承德露露","河北承德露露股份有限公司","HE BEI CHENG DE LOLO CO.,LTD","河北省承德市高新技术产业开发区（西区8号）",848,"承德露露",11/13/97,190086000,189976185,,,,0,0,"华北","河北","承德市","C0 食品饮料","www.lolo.com.cn"
000850.SZ,"华茂股份","安徽华茂纺织股份有限公司","ANHUI HUAMAO TEXTILE CO.,LTD","安徽省安庆市纺织南路80号",850,"华茂股份",10/07/98,629110006,336991173,,,,0,0,"华东","安徽","安庆市","C1 纺织服装","www.chinahuamao.net"
000851.SZ,"高鸿股份","大唐高鸿数据网络技术股份有限公司","GOHIGH DATA NETWORKS TECHNOLOGY C0.,LTD","贵州省贵阳国家高新技术产业开发区金阳知识经济产业园A－1－63号",851,"高鸿股份",06/09/98,332900000,253960891,,,,0,0,"西南","贵州","贵阳市","C6 金属非金属","www.gohigh.com.cn"
000852.SZ,"江钻股份","江汉石油钻头股份有限公司","KINGDREAM PUBLIC LIMITED COMPANY","湖北省武汉市东湖新技术开发区华工园一路5号",852,"江钻股份",11/26/98,400400000,130094827,,,,0,0,"华中","湖北","武汉市","C7 机械设备","www.kingdream.com.cn"
000856.SZ,"唐山陶瓷","唐山陶瓷股份有限公司","TANGSHAN CERAMIC CO. LTD.","河北省唐山市路北区缸窑路110号",856,"ST唐陶",08/13/98,227000000,132070579,,,,0,0,"华北","河北","唐山市","C6 金属非金属","www.tangshanceramic.com"
000858.SZ,"五粮液","宜宾五粮液股份有限公司","WULIANGYE YIBIN CO.,LTD","四川省宜宾市翠屏区岷江西路150号",858,"五 粮 液",04/27/98,3795966720,3795520981,,,,0,0,"西南","四川","宜宾市","C0 食品饮料","www.wuliangye.com.cn"
000859.SZ,"国风塑业","安徽国风塑业股份有限公司","ANHUI GUOFENG PLASTIC INDUSTRY CO., LTD","安徽省合肥国家高新技术产业开发区天智路",859,"国风塑业",11/19/98,420480000,290100900,,,,0,0,"华东","安徽","合肥市","C4 石化塑胶","www.guofeng.com"
000860.SZ,"顺鑫农业","北京顺鑫农业股份有限公司","BEIJING SHUNXIN AGRICULTURE CO.,LTD","北京市顺义区站前街南侧",860,"顺鑫农业",11/04/98,438540000,232412209,,,,0,0,"华北","北京","北京市","A 农林牧渔","www.000860.com"
000861.SZ,"海印股份","广东海印永业（集团）股份有限公司","GUANGDONG HIGHSUN YONGYE (GROUP) CO.,LTD.","广东省广州市越秀区东湖西路56-58号",861,"海印股份",10/28/98,492188966,149138681,,,,0,0,"华南","广东","广州市","C6 金属非金属","www.000861.com"
000862.SZ,"银星能源","宁夏银星能源股份有限公司","Ning Xia Yin Xing Energy Co.,Ltd.","宁夏回族自治区银川市黄河东路620号",862,"银星能源",09/15/98,235890000,235890000,,,,0,0,"西北","宁夏","银川市","C7 机械设备","www.wzyb.com.cn"
